Preset,Section,Key Cnt,Value Type,,,
543,3,string,10438,???? ?????.,,
544,3,string,10439,?? ??? ??? ??? ???? ????.,,
545,3,string,10440,??? ?? ? ? ????.,,
546,3,string,10441,??? ??? ???.,,
547,3,string,10442,??? ??? ???.,,
548,3,string,10443,?? ????? ?? ?? ??? ? ????.,,
549,3,string,10444,"??? ????(5%%) %d mito? ?????.
?? ?? 7? ??? ??? ??? ??? ?? ???.",,
550,3,string,10445,??? ?? ?? ??????.,,
551,3,string,10446,??? ??? ?????.,,
552,3,string,10447,?? ??? ?????.(?? 20?),,
553,3,string,10448,??? ??? ?? ? ????.,,
554,3,string,10449,?? ??? ???? ????.,,
555,3,string,10450,??? ? ??? ????.,,
556,3,string,10451,?? ?? ??? ????.,,
557,3,string,10452,????? ?? ???? ?? ??????.,,
558,3,string,10453,?? ? ? ?? ?????.,,
559,3,string,10454,????? ?? ??????.,,
560,3,string,10455,??? ?? ?? ???? ??? ????.,,
561,3,string,10456,??? ?? ??????.,,
562,3,string,10457,?? ??? ?????.,,
563,3,string,10458,%s %d?,,
564,3,string,10459,%d-%d-%d (%d?),,
565,3,string,10460,???,,
566,3,string,10461,%d/%d ??,,
567,3,string,10462,"1???? %dEXP, ?? ??? %dEXP",,
568,3,string,10463,? X %u,,???????
569,3,string,10464,? X %u,,???????
570,3,string,10465,?? X %u,,???????
571,3,string,10466,?? X %u,,???????
572,3,string,10467,??? ??? ????.,,
573,3,string,10468,??? ???? ?????????,,
574,3,string,10469,%s ?? ?? ?? ??? ?? ?? ????.,,
575,3,string,10470,???? ??????.,,
576,3,string,10471,???? ??????.,,
577,3,string,10472,%s ?? ????? ???????.,,
578,3,string,10473,%s ?? ????? ???????.,,
579,3,string,10474,[%s]??? ???: %s,,???
580,3,string,10475,[%s]?? ???: %s,,???
581,3,string,10476,??? ?? %d?? ???? ?????.,,???
582,3,string,10477,/???,,
583,3,string,10478,/???,,
584,3,string,10479,/??,,
585,3,string,10480,/???,,
586,3,string,10481,BGM ??? ??? ?????~,,
587,3,string,10482,SkidRush BGM Mode...,,
588,3,string,10483, + ????,,
589,3,string,10484,Lv. (%u) ??,,
590,3,string,10485,???? : %u,,
591,3,string,10486,???? : %u,,
592,3,string,10487,?? ??? ?? ??.,,
593,3,string,10488,??? ?? ?? ? ? ????,,
594,3,string,10489,??? ?? ???? ????.,,
595,3,string,10490,??? ??? ?? ? ? ????.,,
596,3,string,10491,???? ??? ??? ? ????.,,
597,3,string,10492,??? ???? ??? ??? ?? ????.,,
598,3,string,10493,?????,,
599,3,string,10494,????,,
600,3,string,10495,????,,
601,3,string,10496,????,,
602,3,string,10497,?????,,
603,3,string,10498,?????,,
604,3,string,10499,??? ??? ?? ??? ??? ? ????.,,
605,3,string,10500,??? ?????.,,
606,3,string,10501,???? ?? ??? ????? ?????.,,"??? ????? ???? ??
(?? ??? ??.-???? ???? ?? ? ??)"
607,3,string,10502,"??? ? ?? ??? ?????.
??? ???? ? ?? ??? ????.",,????? ??? ???? ??
608,3,string,10503,"????? ?? ?????. 
(?? 4?? ??, ??/?? 8?? ??)",,??? ? ????? ???? ?? ??
609,3,string,10504,????,,
610,3,string,10505,?? ???? ???? ?????.,,"??? ???? ??? 1?? ??
(????)"
611,3,string,10506,???? ??? ?????.,,
612,3,string,10507,"??? ?????.
????? ??? ??? ?????.",,?? ????? ???? ??? ?????? ?? ??? [????]??? ?? ??
613,3,string,10508," ???? ??? ??? ???.
(???? ???? ?? ?? ??? ? ? ????.) ",,
614,3,string,10509,"?? ???? ???? ?????.
???? ???? ?? ? ? ????.",,"1??? ???? ????? ? ??? ?? ?. ?, ???? ?? ?"
615,3,string,10510,"???? ?????.
??: ",,??? ?????? ???? ????? ???? ?? ??? ?
616,3,string,10511,??,,
617,3,string,10512,"???? ??? ????
 ??? ? ????.

??: ",,
618,3,string,10513,"???? MD ??

? ?????.
   ??? ??? ?? ??? ???? ?? ???? ???.
   ??? ?? ???? ??? ?? ? ???, ?? ????
   ????? ??? ? ????.
   ?? ???? ???? ? ????? ??? ???.  
   
? ??/?? ??.
    ?????? ???? ??? ????? ?????
    ?????? ??, ???? ? ????. 
    (?, ?? ? ?? ???? ??? ?????.)
    ?????? ???? ??? ?? ? ???? ????
    ?????? ??, ???? ??? ?? ? ????.

? ??? ????.
  ????? ???? ??? ?? ????? ???? ??
  ? ? ????.
  ??? ???? ??/??/??/??/?? ? ? ????.
  ?? ?? ??? 1588-3810?? ???? ? ????.
  (24?? ?? ??)",,????
619,3,string,10514,???? : ,,???? ???
620,3,string,10515,??,,??? ?? ????
621,3,string,10516, ?? ?? ??? ??? ??? ??? ??? ? ????? 1????.??? ??? ?? ???? ?? ?? ?? ? ??? ??????. ,, [???? ????]?? 
622,3,string,10517,"???? ??? ???? ??????.
?? ?? ?????????",,
623,3,string,10518,??? ?? ????? ?????.,,???? ??? ???? [???]??? ?? ??
624,3,string,10519,???? ?????.,,??? ??? ????? ????? ?? [????]??? ?? ??
625,3,string,10520,"?? ? ? ????. 
????? ??? ?????.",,"????? ????, ??? ?? ?? ??? ? ?? ??"
626,3,string,10521,"??? ? ?? ?????. 
??? ??? ??? ?????.",,????? ??? ? ?? ??? ?? ??? [????]??? ?? ??
627,3,string,10522,????? ???,,
628,3,string,10523,??,,
629,3,string,10524,%s ?? ?? ??? ?????????,,
630,3,string,10525,"??, ???? ?? ??? ?? ?, ??? ?????. ? ?? ??? ??? ?? '??'??? ?????.",,
631,3,string,10526,?? ????? ???????. ??? ?????????,,
632,3,string,10527,??? ?????.,,
633,3,string,10528,??? ??? ???.,,
634,3,string,10529,[??]??? ???? ??? ???? ? ????.,,???? 1??? ?? ???? ???? ???
635,3,string,10530,???? ???? ??? ?????.,,?? ?? ???
636,3,string,10531,"???? ?????, ??? ?? ??? ?? ????, ??? ? ?? ???.
??? ?????????",,??? [????]??? ?? ??
637,3,string,10532,??? ?????.,,
638,3,string,10533,????? ????? ??? ? ????.,,
639,3,string,10534,???? ??? ? ????. ,,
640,3,string,10535,???? ??? ? ????. ,,
641,3,string,10536,??? ??,,
642,3,string,10537,??? ??? ????.,,
643,3,string,10538,???? ??? ?????.,,
644,3,string,10539,????? ??? ???.,,
645,3,string,10540,????,,
646,3,string,10541,?? - ????,,
647,3,string,10542,?? - ????,,
648,3,string,10543,?? - ?????,,
649,3,string,10544,?? - ???,,
650,3,string,10545,<?? ???>,,
651,3,string,10546,<?? ????>,,
652,3,string,10547,<????>,,
653,3,string,10548,??? ?????????,,
654,3,string,10549,???? %d?,,
655,3,string,10550,"???? ???? ?????.
??? ???? ???? ?? ??? ????? ??? ????, ?? ????? ??? ??????.",,
656,3,string,10551,??? %d,,
657,3,string,10552,,,
658,3,string,10553,,,
659,3,string,10554,,,
660,3,string,10555,,,
661,3,string,10556,,,
662,3,string,10557,,,
663,3,string,10558,,,
664,3,string,10559,,,
665,3,string,10560,,,
666,3,string,10561,,,
667,3,string,10562,,,
668,3,string,10563,,,
669,3,string,10564,,,
670,3,string,10565,,,
671,3,string,10566,,,
672,3,string,10567,,,
673,3,string,10568,,,
674,3,string,10569,,,
675,3,string,10570,,,
676,3,string,10571,,,
677,3,string,10572,,,
678,3,string,10573,,,
679,3,string,10574,,,
680,3,string,10575,,,
681,3,string,10576,,,
682,3,string,10577,,,
683,3,string,10578,,,
684,3,string,10579,,,
685,3,string,10580,,,
686,3,string,10581,,,
687,3,string,10582,,,
688,3,string,10583,,,
689,3,string,10584,,,
690,3,string,10585,,,
691,3,string,10586,,,
692,3,string,10587,,,
693,3,string,10588,,,
694,3,string,10589,,,
695,3,string,10590,,,
696,3,string,10591,,,
697,3,string,10592,,,
698,3,string,10593,,,
699,3,string,10594,,,
700,3,string,10595,,,
701,3,string,10596,,,
702,3,string,10597,,,
703,3,string,10598,,,
704,3,string,10599,,,
705,3,string,10600,,,
706,3,string,10601,,,
707,3,string,10602,,,
708,3,string,10603,,,
709,3,string,10604,,,
710,3,string,10605,,,
711,3,string,10606,,,
712,3,string,10607,,,
713,3,string,10608,,,
714,3,string,10609,,,
715,3,string,10610,,,
716,3,string,10611,,,
717,3,string,10612,,,
718,3,string,10613,,,
719,3,string,10614,,,
720,3,string,10615,,,
721,3,string,10616,,,
722,3,string,10617,,,
723,3,string,10618,,,
724,3,string,10619,,,
725,3,string,10620,,,
726,3,string,10621,,,
727,3,string,10622,,,
728,3,string,10623,,,
729,3,string,10624,,,
730,3,string,10625,,,
731,3,string,10626,,,
732,3,string,10627,,,
733,3,string,10628,,,
734,3,string,10629,,,
735,3,string,10630,,,
736,3,string,10631,,,
737,3,string,10632,,,
738,3,string,10633,,,
739,3,string,10634,,,
740,3,string,10635,,,
741,3,string,10636,,,
742,3,string,10637,,,
743,3,string,10638,,,
744,3,string,10639,,,
745,3,string,10640,,,
746,3,string,10641,,,
747,3,string,10642,,,
748,3,string,10643,,,
749,3,string,10644,,,
750,3,string,10645,,,
751,3,string,10646,,,
752,3,string,10647,,,
753,3,string,10648,,,
754,3,string,10649,,,
755,3,string,10650,,,
756,3,string,10651,,,
757,3,string,10652,,,
758,3,string,10653,,,
759,3,string,10654,,,
760,3,string,10655,,,
761,3,string,10656,,,
762,3,string,10657,,,
763,3,string,10658,,,
764,3,string,10659,,,
765,3,string,10660,,,
766,3,string,10661,,,
767,3,string,10662,,,
768,3,string,10663,,,
769,3,string,10664,,,
770,3,string,10665,,,
771,3,string,10666,,,
